order_id,order_date,product_id,product_name,category,region,channel,quantity,unit_price,discount_pct,revenue,cost,profit,returned,customer_id
500000,2025-10-16,1024,Resistance Bands,Sports,North America,Website,1,73.75,0.0,73.75,46.0,27.75,0,C00521
500001,2024-10-08,1015,Face Serum,Beauty,Europe,Website,1,80.28,0.05,76.27,50.57,25.7,0,C00684
500002,2024-04-14,1017,Moisturizer,Beauty,Middle East,Website,1,177.23,0.0,177.23,77.42,99.81,0,C01060
500003,2025-03-08,1014,Hoodie,Apparel,North America,Website,2,71.73,0.1,129.11,98.86,30.25,0,C01480
500004,2024-08-11,1012,Jacket,Apparel,Europe,Mobile App,1,88.76,0.0,88.76,39.21,49.55,0,C01249
500005,2024-01-28,1012,Jacket,Apparel,Middle East,Website,1,88.76,0.1,79.88,39.21,40.67,0,C00403
500006,2025-10-27,1013,Sneakers,Apparel,Middle East,Website,1,39.27,0.2,31.42,19.98,11.44,0,C00881
500007,2025-04-04,1006,Coffee Maker,Home & Kitchen,Middle East,Website,1,110.15,0.15,93.63,67.43,26.2,1,C00914
500008,2024-01-07,1005,Air Fryer,Home & Kitchen,Europe,Mobile App,1,16.13,0.0,16.13,6.54,9.59,1,C01389
500009,2024-12-14,1023,Water Bottle,Sports,Asia Pacific,Website,1,55.97,0.0,55.97,28.38,27.59,1,C01140
500010,2024-12-10,1004,USB-C Hub,Electronics,North America,Website,1,109.12,0.0,109.12,50.08,59.04,0,C00921
500011,2024-04-09,1004,USB-C Hub,Electronics,Asia Pacific,Mobile App,1,109.12,0.0,109.12,50.08,59.04,0,C01716
500012,2025-09-10,1018,Lipstick,Beauty,Asia Pacific,Mobile App,1,41.98,0.0,41.98,27.85,14.13,0,C01082
500013,2025-04-15,1009,Vacuum Cleaner,Home & Kitchen,Middle East,Website,1,64.34,0.0,64.34,37.4,26.94,0,C01309
500014,2025-01-22,1010,T-Shirt,Apparel,North America,Mobile App,1,79.05,0.0,79.05,50.89,28.16,0,C00769
500015,2025-10-05,1005,Air Fryer,Home & Kitchen,Middle East,Marketplace,1,16.13,0.0,16.13,6.54,9.59,0,C00754
500016,2025-01-05,1023,Water Bottle,Sports,Middle East,Website,1,55.97,0.0,55.97,28.38,27.59,0,C01572
500017,2024-03-12,1001,Smart Watch,Electronics,North America,Mobile App,3,123.31,0.05,351.43,179.7,171.73,0,C01530
500018,2024-10-23,1000,Wireless Earbuds,Electronics,North America,Marketplace,1,80.93,0.1,72.84,33.09,39.75,0,C01254
500019,2024-04-13,1020,Yoga Mat,Sports,Latin America,Website,1,27.52,0.05,26.14,14.15,11.99,0,C00091
500020,2025-10-12,1015,Face Serum,Beauty,Asia Pacific,Website,3,80.28,0.0,240.84,151.71,89.13,0,C00080
500021,2024-12-29,1009,Vacuum Cleaner,Home & Kitchen,Europe,Mobile App,1,64.34,0.0,64.34,37.4,26.94,0,C00373
500022,2025-12-19,1009,Vacuum Cleaner,Home & Kitchen,North America,Mobile App,1,64.34,0.0,64.34,37.4,26.94,0,C00374
500023,2024-06-24,1019,Sunscreen,Beauty,Middle East,Mobile App,2,106.12,0.05,201.63,112.64,88.99,0,C01109
500024,2024-06-16,1004,USB-C Hub,Electronics,Latin America,Website,3,109.12,0.0,327.36,150.24,177.12,0,C00401
500025,2025-10-17,1008,Cookware Set,Home & Kitchen,Middle East,Website,2,55.01,0.0,110.02,55.64,54.38,0,C00081
500026,2024-11-28,1014,Hoodie,Apparel,North America,Website,2,71.73,0.0,143.46,98.86,44.6,1,C00061
500027,2024-02-02,1012,Jacket,Apparel,Asia Pacific,Website,1,88.76,0.1,79.88,39.21,40.67,0,C01277
500028,2024-03-08,1015,Face Serum,Beauty,Europe,Marketplace,1,80.28,0.0,80.28,50.57,29.71,0,C00812
500029,2025-08-03,1021,Dumbbells,Sports,Asia Pacific,Website,1,18.19,0.0,18.19,7.58,10.61,0,C00877
500030,2025-05-26,1022,Running Shoes,Sports,Latin America,Marketplace,1,51.96,0.2,41.57,24.41,17.16,0,C00646
500031,2025-10-20,1019,Sunscreen,Beauty,Latin America,Website,2,106.12,0.0,212.24,112.64,99.6,0,C01535
500032,2024-05-22,1022,Running Shoes,Sports,Europe,Mobile App,1,51.96,0.0,51.96,24.41,27.55,0,C01605
500033,2025-07-05,1018,Lipstick,Beauty,Asia Pacific,Mobile App,1,41.98,0.0,41.98,27.85,14.13,0,C00601
500034,2025-03-14,1023,Water Bottle,Sports,Middle East,Website,1,55.97,0.0,55.97,28.38,27.59,0,C01039
500035,2024-08-12,1012,Jacket,Apparel,Europe,Mobile App,1,88.76,0.0,88.76,39.21,49.55,0,C01709
500036,2024-04-03,1022,Running Shoes,Sports,North America,Marketplace,1,51.96,0.15,44.17,24.41,19.76,0,C00127
500037,2024-06-05,1001,Smart Watch,Electronics,Europe,Mobile App,1,123.31,0.05,117.14,59.9,57.24,0,C00313
500038,2025-03-08,1016,Shampoo,Beauty,Middle East,Website,2,24.14,0.0,48.28,19.76,28.52,0,C01493
500039,2025-01-25,1020,Yoga Mat,Sports,Middle East,Marketplace,2,27.52,0.0,55.04,28.3,26.74,0,C01395
500040,2025-06-25,1004,USB-C Hub,Electronics,Asia Pacific,Marketplace,2,109.12,0.1,196.42,100.16,96.26,0,C00313
500041,2024-01-12,1008,Cookware Set,Home & Kitchen,North America,Mobile App,2,55.01,0.1,99.02,55.64,43.38,0,C00915
500042,2025-07-03,1012,Jacket,Apparel,Asia Pacific,Mobile App,3,88.76,0.05,252.97,117.63,135.34,0,C01182
500043,2024-12-14,1011,Jeans,Apparel,North America,Website,1,48.52,0.05,46.09,26.91,19.18,0,C00128
500044,2024-06-10,1014,Hoodie,Apparel,Latin America,Website,1,71.73,0.0,71.73,49.43,22.3,0,C00981
500045,2024-09-26,1009,Vacuum Cleaner,Home & Kitchen,Middle East,Mobile App,1,64.34,0.0,64.34,37.4,26.94,0,C01515
500046,2025-06-03,1003,Laptop Stand,Electronics,North America,Marketplace,1,22.02,0.0,22.02,9.36,12.66,0,C00817
500047,2024-11-01,1012,Jacket,Apparel,Middle East,Mobile App,1,88.76,0.05,84.32,39.21,45.11,0,C00981
500048,2024-06-05,1004,USB-C Hub,Electronics,Asia Pacific,Mobile App,1,109.12,0.0,109.12,50.08,59.04,0,C00805
500049,2025-07-06,1013,Sneakers,Apparel,Middle East,Marketplace,1,39.27,0.15,33.38,19.98,13.4,0,C00814
500050,2025-09-05,1010,T-Shirt,Apparel,Asia Pacific,Website,4,79.05,0.0,316.2,203.56,112.64,0,C01368
500051,2024-04-24,1014,Hoodie,Apparel,Asia Pacific,Marketplace,1,71.73,0.0,71.73,49.43,22.3,0,C00753
500052,2024-11-10,1006,Coffee Maker,Home & Kitchen,Europe,Website,1,110.15,0.05,104.64,67.43,37.21,0,C00580
500053,2025-08-03,1015,Face Serum,Beauty,North America,Website,1,80.28,0.0,80.28,50.57,29.71,0,C00973
500054,2025-05-12,1023,Water Bottle,Sports,North America,Marketplace,2,55.97,0.05,106.34,56.76,49.58,0,C00191
500055,2025-06-29,1008,Cookware Set,Home & Kitchen,Europe,Website,1,55.01,0.0,55.01,27.82,27.19,0,C00365
500056,2025-05-01,1020,Yoga Mat,Sports,Middle East,Website,1,27.52,0.0,27.52,14.15,13.37,0,C00210
500057,2025-06-24,1012,Jacket,Apparel,Middle East,Website,2,88.76,0.0,177.52,78.42,99.1,0,C01099
500058,2024-08-04,1009,Vacuum Cleaner,Home & Kitchen,Middle East,Mobile App,2,64.34,0.0,128.68,74.8,53.88,0,C01009
500059,2025-12-07,1019,Sunscreen,Beauty,Europe,Mobile App,1,106.12,0.0,106.12,56.32,49.8,0,C00455
500060,2025-02-12,1006,Coffee Maker,Home & Kitchen,Asia Pacific,Website,1,110.15,0.0,110.15,67.43,42.72,0,C00401
500061,2025-06-13,1024,Resistance Bands,Sports,Latin America,Website,2,73.75,0.0,147.5,92.0,55.5,0,C00317
500062,2024-08-18,1024,Resistance Bands,Sports,North America,Website,1,73.75,0.0,73.75,46.0,27.75,0,C00971
500063,2025-08-25,1010,T-Shirt,Apparel,Middle East,Website,1,79.05,0.0,79.05,50.89,28.16,0,C00093
500064,2024-08-13,1009,Vacuum Cleaner,Home & Kitchen,North America,Website,2,64.34,0.0,128.68,74.8,53.88,0,C01395
500065,2025-10-08,1023,Water Bottle,Sports,North America,Website,1,55.97,0.0,55.97,28.38,27.59,0,C01108
500066,2024-02-02,1008,Cookware Set,Home & Kitchen,Asia Pacific,Website,1,55.01,0.0,55.01,27.82,27.19,0,C00513
500067,2024-08-31,1002,Bluetooth Speaker,Electronics,Asia Pacific,Mobile App,1,26.25,0.0,26.25,16.7,9.55,0,C01083
500068,2024-08-07,1024,Resistance Bands,Sports,Middle East,Website,1,73.75,0.15,62.69,46.0,16.69,0,C01032
500069,2025-08-07,1019,Sunscreen,Beauty,Middle East,Website,2,106.12,0.0,212.24,112.64,99.6,1,C01678
500070,2025-04-29,1016,Shampoo,Beauty,Latin America,Website,2,24.14,0.1,43.45,19.76,23.69,0,C01389
500071,2024-04-09,1012,Jacket,Apparel,Latin America,Website,1,88.76,0.0,88.76,39.21,49.55,0,C01027
500072,2025-02-24,1008,Cookware Set,Home & Kitchen,Latin America,Marketplace,1,55.01,0.0,55.01,27.82,27.19,0,C00793
500073,2024-02-25,1011,Jeans,Apparel,North America,Website,1,48.52,0.0,48.52,26.91,21.61,0,C01063
500074,2024-12-13,1015,Face Serum,Beauty,North America,Website,1,80.28,0.0,80.28,50.57,29.71,0,C00584
500075,2024-07-13,1014,Hoodie,Apparel,Middle East,Website,1,71.73,0.0,71.73,49.43,22.3,0,C01679
500076,2025-03-08,1007,Blender,Home & Kitchen,Europe,Website,1,29.86,0.0,29.86,18.64,11.22,0,C00744
500077,2024-09-12,1016,Shampoo,Beauty,North America,Website,1,24.14,0.05,22.93,9.88,13.05,1,C00770
500078,2025-07-17,1023,Water Bottle,Sports,North America,Website,1,55.97,0.2,44.78,28.38,16.4,0,C01272
500079,2025-07-07,1002,Bluetooth Speaker,Electronics,North America,Marketplace,1,26.25,0.0,26.25,16.7,9.55,0,C01726
500080,2024-08-30,1013,Sneakers,Apparel,Europe,Website,2,39.27,0.0,78.54,39.96,38.58,0,C00859
500081,2025-05-07,1010,T-Shirt,Apparel,Europe,Marketplace,1,79.05,0.0,79.05,50.89,28.16,0,C01197
500082,2024-03-01,1022,Running Shoes,Sports,Europe,Website,2,51.96,0.0,103.92,48.82,55.1,0,C00400
500083,2025-02-03,1020,Yoga Mat,Sports,Asia Pacific,Marketplace,1,27.52,0.0,27.52,14.15,13.37,0,C00246
500084,2025-04-10,1013,Sneakers,Apparel,Asia Pacific,Website,1,39.27,0.0,39.27,19.98,19.29,0,C01788
500085,2025-07-23,1020,Yoga Mat,Sports,Latin America,Website,2,27.52,0.0,55.04,28.3,26.74,0,C00802
500086,2024-10-30,1005,Air Fryer,Home & Kitchen,Europe,Marketplace,1,16.13,0.0,16.13,6.54,9.59,0,C00399
500087,2025-08-16,1003,Laptop Stand,Electronics,Middle East,Website,2,22.02,0.0,44.04,18.72,25.32,0,C00190
